21523
11260;0;22020
11260;1;22094
11260;2;22166
11260;3;22232
11260;4;22297
11260;5;22365
11260;6;22436
11260;7;22511
11260;8;22581
11260;9;22652
11260;10;22724
11260;11;22799
11260;12;22875
11260;13;22949
11260;14;23017
11260;15;23095
11260;16;23167
11260;17;23234
11260;18;23301
11260;19;23375
11297;0;23700
11297;1;23773
11297;2;23844
11297;3;23909
11297;4;23973
11297;5;24040
11297;6;24110
11297;7;24184
11297;8;24253
11297;9;24324
11297;10;24395
11297;11;24469
11297;12;24545
11297;13;24618
11297;14;24686
11297;15;24763
11297;16;24835
11297;17;24902
11297;18;24969
11297;19;25042
11334;0;25380
11334;1;25453
11334;2;25524
11334;3;25589
11334;4;25653
11334;5;25720
11334;6;25790
11334;7;25865
11334;8;25935
11334;9;26006
11334;10;26078
11334;11;26154
11334;12;26231
11334;13;26305
11334;14;26373
11334;15;26451
11334;16;26523
11334;17;26590
11334;18;26657
11334;19;26731
11371;0;26700
11371;1;26774
11371;2;26846
11371;3;26911
11371;4;26976
11371;5;27044
11371;6;27115
11371;7;27191
11371;8;27262
11371;9;27336
11371;10;27411
11371;11;27490
11371;12;27570
11371;13;27646
11371;14;27716
11371;15;27796
11371;16;27870
11371;17;27939
11371;18;28008
11371;19;28084
11408;0;28020
11408;1;28096
11408;2;28170
11408;3;28237
11408;4;28304
11408;5;28374
11408;6;28448
11408;7;28527
11408;8;28602
11408;9;28680
11408;10;28760
11408;11;28844
11408;12;28928
11408;13;29008
11408;14;29081
11408;15;29164
11408;16;29241
11408;17;29313
11408;18;29384
11408;19;29462
11445;0;29340
11445;1;29418
11445;2;29494
11445;3;29564
11445;4;29634
11445;5;29707
11445;6;29784
11445;7;29867
11445;8;29946
11445;9;30029
11445;10;30116
11445;11;30207
11445;12;30298
11445;13;30383
11445;14;30460
11445;15;30546
11445;16;30625
11445;17;30699
11445;18;30773
11445;19;30854
11482;0;30300
11482;1;30380
11482;2;30458
11482;3;30530
11482;4;30601
11482;5;30676
11482;6;30755
11482;7;30841
11482;8;30924
11482;9;31012
11482;10;31104
11482;11;31200
11482;12;31295
11482;13;31383
11482;14;31462
11482;15;31550
11482;16;31631
11482;17;31707
11482;18;31783
11482;19;31865
11519;0;31260
11519;1;31342
11519;2;31422
11519;3;31495
11519;4;31568
11519;5;31644
11519;6;31725
11519;7;31813
11519;8;31898
11519;9;31989
11519;10;32084
11519;11;32184
11519;12;32282
11519;13;32371
11519;14;32451
11519;15;32540
11519;16;32622
11519;17;32698
11519;18;32774
11519;19;32857
11556;0;32220
11556;1;32302
11556;2;32383
11556;3;32457
11556;4;32531
11556;5;32608
11556;6;32689
11556;7;32778
11556;8;32864
11556;9;32956
11556;10;33053
11556;11;33154
11556;12;33252
11556;13;33341
11556;14;33421
11556;15;33510
11556;16;33591
11556;17;33667
11556;18;33742
11556;19;33824
